"id";"Торг_точка_чистый_адрес"
1;"п.Глубокий, ул.Артёма 44"
2;"-"
3;"он же"
4;"он же"
11;"он же"
15;"он же"
18;"он же"
19;"он же"
20;"он же"
21;"он же"
22;"Ростовская обл. г.Морозовск ул. Ворошилова 364/2"
23;"он же"
25;"он же"
26;"он же"
27;"он же"
29;"он же"
30;"он же"
33;"-"
36;"он же"
37;"он же"
40;"-"
44;"-"
47;"он же"
48;"он же"
50;"он же"
51;"г Ростов-на-Дону Соборный 72/Малюгина"
53;"он же"
54;"он же"
55;"он же"
56;"он же"
58;"он же"
63;"-"
69;"он же"
70;"он же"
71;"он же"
73;"он же"
74;"Г.Батайск, Торговое кольцо 31, пав.""Сувенир"""
75;"он же"
76;"он же"
78;"он же"
79;"он же"
84;"он же"
85;"он же"
87;"он же"
88;"он же"
89;"он же"
90;"он же"
92;"он же"
93;"он же"
94;"р-к Привоз"
96;"он же"
100;"г. Ростов-на-Дону ул. Ц. Кунникова 8б"
101;"он же"
103;"он же"
104;"он же"
108;"г Аксай ул Советская 6"
111;"он же"
113;"он же"
114;"он же"
116;"он же"
118;"он же"
119;"он же"
120;"он же"
121;"он же"
122;"-"
125;"344002, г. Ростов-на-Дону, пр. Буденовский, д.3/3"
130;"он же"
132;"он же"
138;"Ростовская обл Белая Калитва ул Атаева 9а"
140;"-"
144;"344000 Россия г Ростов-на-Дону ул Горького 28/4"
155;"он же"
161;"-"
166;"пр Ленина 22 ориентир ""21 век"""
179;"г.Новочеркас ул.Московская 2 магазин Мир"
187;"Каменск-Шахтинский,ул.Щаденко 104 м-н ""Элегия"""
194;"он же"
198;"Врубовая 40"
207;"г Таганрог ул Осипенко 48"
211;"р-к Привоз"
218;"он же"
220;"г Батайск Луначарского 188 (р-к Заря)"
232;"г Аксай ул Ленина 16а"
239;"р-к Северный м 43"
243;"г Ростов-на-Дону ул Орбитальная 66 """
248;"г Каменск-Шахтинский ул Ворошилова 161е м-н Уражай"
251;"г.Новошахтинск ул.Советская 20"
254;"Рост обл г Новочеркаск Платовский 77 азовский р-к павильон Виктория"
257;"344064, г. Ростов-на-Дону, 2-я Пятилетка, 12"
262;"г Каменск-Шахтинский ул Ворошилова 14/16 м-н продукты"
274;"346050Рост обл п Тарасовский улОстровско 55"
281;"г Шахты ул г Шахты ул Дачная 2 а"
286;"он же"
289;"Каменск-Шахтинский пер Коммунистический 92"
297;"он же"
299;"-"
303;"Аксай, ул.Гулаева, 42"
305;"с.Займо-Обрыв, ул.Будённого, 49а"
308;"он же"
315;"г.Ростов-на-Дону,пр.Коммунистический,27,"
325;"347540 Ростовская обл г Пролетарск пр 50 лет Октября 82/Первомайская"
330;"347800 г Каменск-Шахтинский ул Ленина 79"
342;"-"
345;"он же"
349;"г.Ростов-на-Дону Нахичевань"
352;"347803 г Каменск-Шахтинский ул Монтажников д 43б"
358;"Очаковская ,87"
361;"Ростовская обл пос Глубокий ул Вокзальная 187"
364;"-"
367;"Ольгинская, ул.Ленина, 147а"
371;"-"
381;"г.Таганрог пер.Гоголевский 29а"
387;"он же"
389;"Краснод кр ст Староминская ул Новоясенская 131"
397;"Врубова 38 № 12"
402;"346880, Ростовская обл., г. Батайск, ул. Энгельса 86"
409;"-"
413;"г Шахты ул Советская 66"
417;"-"
427;"г Шахты ул Советская 66"
439;"он же"
440;"г Ростов-на-Дону ул Новолесная 6/3"
446;"-"
449;"он же"
454;"г.Ростов-на-Дону ул.Закруткина 35/2"
457;"ул. Станиславского 106/28"
463;"г.Шахты ул. Индустриальная7 а пав.30"
465;"ст Староминская с Елизаветовка ул Дзержинского 31"
470;"г Ростов-на-Дону ул 40лет Победы 37ж"
476;"он же"
480;"он же"
498;"г.Ростов-на-Дону 40 лет Победы 63/4 ла"
509;"г.Азов ул.Ленина 68"
513;"г Ростов-на-Дону Октябрьский район ул Петренко д 2"
515;"Неклиновский р-н, с.Троицкое, ул.Ленина, 21а"
525;"ИП Строителева М М 346330 Рост обл г Донецк ул Горького 67а"
528;"-"
531;"г.Батайск ул.Крупской 25"
536;"Каменский р-н, п.Молодлёжный, ул.Достоевского 4а"
537;"-"
549;"он же"
556;"г Ростов н/Дону ул Вересаева р-к ""Лидер""(Александр)"
559;"Г.Ростов-на-Дону ул. Маршала Жукова 36/5"
562;"г Азов рынок"
568;"г.Ейск ул. Мичурина4"
570;"он же"
574;"-"
582;"Азовский р-он. с.Пешково, пр-т. Октябрьский 8 б"
589;"Александровский рынок"
594;"он же"
596;"ИП Шапорева 347045 Рост.обл.г.Белая Калитва ул.Энгелься 47"
607;"он же"
608;"он же"
610;"он же"
613;"347800 Ростовская обл г Каменск-Шахтинский ул Профильная 33"
616;"г Азов рынок"
620;"он же"
621;"Рост обл Мясник р-н с Чалтырь ул Ростов"
624;"-"
628;"он же"
629;"он же"
630;"-"
634;"-"
636;"он же"
638;"он же"
639;"он же"
640;"он же"
641;"он же"
648;"он же"
649;"он же"
650;"он же"
654;"он же"
657;"он же"
658;"он же"
659;"он же"
660;"он же"
661;"он же"
662;"-"
669;"он же"
670;"он же"
671;"он же"
672;"он же"
673;"он же"
674;"он же"
675;"он же"
676;"он же"
678;"Таганрожское ш106"
681;"он же"
684;"-"
687;"он же"
691;"он же"
694;"он же"
695;"-"
704;"он же"
705;"он же"
707;"он же"
708;"он же"
709;"он же"
710;"он же"
711;"он же"
712;"он же"
715;"он же"
716;"он же"
717;"он же"
718;"он же"
720;"346130 Ростовская обл.,г.Миллерово,ул. 3 Интернационала,33"
723;"-"
725;"он же"
727;"он же"
728;"-"
730;"-"
732;"он же"
733;"он же"
734;"он же"
735;"он же"
736;"он же"
737;"он же"
738;"он же"
741;"-"
743;"он же"
749;"ООО ""Апейрон"" г Ростов-на-Дону ул ул Социалистическая 74"
760;"он же"
766;"-"
771;"-"
781;"Новочеркасск, п. Ключевой, ул.Центральная, 7"
785;"344094 Ростов-на-Дону Можайская 38/1"
789;"г.Ростов-на-Дону, пр-т Будёновский, д.12"
796;"Аксайский р-н, пос.Российский, ул.Молодёжная 64а"
800;"344000 г.Ростов-на-Дону ул.Б.Садовая 8"
803;"344022, г. Ростов-на-Дону, ул. Максима Горького, 199, кор. 4"
805;"344092, г. Ростов-на-Дону, ул. Добровольского, 5а"
811;"ул Комарова 24 м-н ""Доступная коллекция"""
819;"-"
823;"-"
830;"346130 РФ Ростовская обл г Миллерово ул 3-го Интернационала 33"
837;"344010, г. Ростов-на-Дону, пр. Ворошиловский, 91/1"
838;"Варфоламеева 264/110"
840;"344011 г.Ростов-на-Дону ул.Башкирская, 14"
843;"г.Волгодонск Ул.Черникова 14 - 90"
846;"ООО""ОПР""344002 г Ростов-на-Дону пр Буденновский 19а/55//50а"
849;"347800 Ростовская обл г Каменск-Шахтинский ул Героев Пионеров д 25"
853;"-"
855;"г Ростов-на-Дону пр 40 лет Победы 67/2"
869;"344009 г Ростов-на-Дону ул Зеленая 27а"
871;"ООО ""Таганрогская Торговая Компания"" 347902Рост.обл.г.Таганрог Николаевское ш1/1"
877;"ООО""Универсальная база"" 347800Рост. обл. г.Каменск-Шахтинский ул.2-я Линия"
879;"344006 г.Ростов-на-Дону ул.Социалистическая,114-116/22"
883;"Азов, спуск Невского, 1"
889;"354208 РФ Краснодарский край г. Сочи ул. Магистральная б/о ""Сокол"""
891;"-"
895;"он же"
897;"он же"
898;"ООО ""Торговый дом ""Охотник"",г. Ростов-на-Дону, ул. Кущевская, 41/229"
900;"он же"
903;"он же"
904;"он же"
905;"он же"
909;"Пешковское СПО, с.Пешково, пер.Октябрьский, 1б"
911;"Пешковское СПО,Головатовка, ул.Красноармейская, 21"
915;"он же"
920;"-"
921;"он же"
923;"-"
928;"он же"
930;"-"
932;"он же"
938;"г Батайск ""Хитрый рынок"""
943;"он же"
945;"он же"
946;"он же"
947;"он же"
948;"он же"
949;"он же"
950;"он же"
951;"он же"
956;"г Сальск"
959;"он же"
960;"-"
967;"он же"
968;"он же"
969;"он же"
970;"он же"
971;"-"
975;"он же"
976;"он же"
977;"-"
979;"он же"
982;"он же"
984;"он же"
987;"он же"
988;"он же"
989;"он же"
990;"он же"
991;"он же"
993;"он же"
995;"он же"
996;"он же"
997;"он же"
1000;"он же"
1001;"он же"
1002;"он же"
1003;"он же"
1004;"он же"
1005;"он же"
1009;"он же"
1010;"он же"
1011;"он же"
1012;"он же"
1017;"он же"
1018;"он же"
1019;"он же"
1020;"он же"
1021;"он же"
1022;"он же"
1023;"он же"
1024;"он же"
1025;"он же"
1027;"он же"
1030;"он же"
1031;"он же"
1032;"347360,Ростовская обл.,г.Волгодонск,"
1036;"ООО ""Солнечный круг"" г Ростов-на-Дону пр Шолохова 282"
1059;"-"
1060;"1"
1064;"-"
1066;"-"
1069;"-"
1072;"-"
1078;"-"
1084;"б/а"
1086;"344069 г.Ростов-на-Дону ул. Оганова 33"
1089;"-"
1092;"-"
1097;"-"
1101;"-"
1105;"-"
1107;"-"
1111;"-"
1113;"-"
1119;"-"
1120;"-"
1124;"г Новороссийск ул Видова 83/69"
1127;"г Ростов-на-Дону ул Волкова 41/2"
1132;"г Ростов-на-Дону Станиславского 100"
1138;"-"
1146;"-"
1151;"-"
1156;"-"
1157;"г.Ростов-на-Дону,ул.Орбитальная,88/1"
1165;"г Батайск Талолихина 32"
1167;"-"
1171;"-"
1175;"-"
1179;"-"
1181;"-"
1184;"-"
1187;"-"
1189;"-"
1193;"-"
1198;"-"
1202;"-"
1203;"-"
1207;"-"
1208;"-"
1212;"-"
1213;"-"
1216;"г Таганрог ул Восточная 41"
1220;"-"
1221;"г Ростов-на-Дону ул Ерёменко 60/10 м-н Молоко"
1225;"г Ростов н/Д пр Космонавтов 9(магазинМОЛОКО)"
1231;"г Ростов-на-Дону ул 45-я линия 13/87"
1233;"-"
1234;"-"
1235;"-"
1244;"-"
1247;"-"
1253;"-"
1258;"-"
1262;"-"
1265;"г Ростов-на-Дону Газетный 39а"
1271;"400087 г. Волгоград ул. Новороссийская. 61"
1272;"-"
1278;"-"
1290;"-"
1294;"-"
1297;"-"
1304;"-"
1308;"г Ростов-на-Дону ул М Горького д 28/41"
1310;"-"
1311;"-"
1312;"-"
1315;"г Ростов/Дон ул Социалистическая 74"
1317;"-"
1322;"344058,г.Ростов-на-Дону,улДоватора,160/1"
1325;"г.Крымск ,ул Торговая 6"
1328;"-"
1332;"-"
1334;"-"
1336;"-"
1341;"-"
1348;"-"
1349;"ст Старощербиновская ул Первомайская 149"
1355;"-"
1356;"-"
1358;"-"
1362;"-"
1366;"-"
1367;"г Волгодонск ул Бетонная 1"
1372;"-"
1377;"с.Большая Мартыновка ул.Ленина 41"
1382;"г Новороссийск ул Вруцкого 8"
1386;"-"
1388;"г.Новороссийск ул. Молодежная 28 А"
1393;"-"
1396;"РО Азовский р-н с. Пешково ул. Шолохова 3/2"
1400;"-"
1403;"-"
1405;"-"
1410;"г Темрюк ул Бувина 173"
1414;"-"
1416;"г Темрюк ул Ленина Терлецкий р-к место №30"
1422;"Черепахина 312/а"
1427;"-"
1428;"-"
1434;"-"
1445;"-"
1449;"-"
1453;"г Ростов-на-Дону Станиславского 57"
1457;"г Ростов-н-Д ул Обороны 77"
1462;"-"
1464;"-"
1466;"г Ростов-на-Дону ул Погодина 20/43"
1469;"-"
1476;"-"
1478;"-"
1481;"-"
1485;"-"
1486;"-"
1490;"г Ростов-на-Дону 6-я Линия 22"
1496;"г Азов ул Кирова 131Б"
1499;"-"
